Time,Out
0,3.04658641280788
0.012,3.18394489424938
0.024,3.09828413398472
0.036,3.07838885794585
0.048,2.95344767133987
0.06,2.98281980797924
0.072,2.97362175468133
0.084,2.94049048845397
0.096,2.82663635023807
0.108,2.85046758143377
0.12,2.84140249604559
0.132,2.7811794580519
0.144,2.88047087114177
0.156,3.0153421341389
0.168,2.59107137485196
0.18,2.69531402633433
0.192,2.49449488466389
0.204,2.72241402096071
0.216,2.6837623500019
0.228,2.32430250296419
0.24,2.62988844783921
0.252,2.26919095477624
0.264,2.33966109750214
0.276,2.36336812024847
0.288,2.20186767524723
0.3,2.34756658130128
0.312,2.32128458775955
0.324,1.98506697248156
0.336,1.70291257916269
0.348,1.77668150066265
0.36,1.64510899884252
0.372,1.56736146354789
0.384,1.44216171854631
0.396,1.47102208950833
0.408,1.57931576557058
0.42,1.19969526068662
0.432,1.14303323382585
0.444,1.1847147004516
0.456,1.08350934187643
0.468,0.902118898705796
0.48,0.844681648619598
0.492,0.714845402108368
